respondent_id,date,satisfaction_score,channel_used,task_type,complaint,suggestion
R1004,2024-01-10,4,whatsapp_direct,messaging,Voice transcription sometimes inaccurate,Improve voice recognition accuracy
R1001,2024-01-11,5,whatsapp_direct,smart_home,None,Add support for more smart home devices
R1014,2024-01-11,3,whatsapp_direct,scheduling,Calendar integration could be smoother,Support natural language date parsing better
R1010,2024-01-14,2,whatsapp_direct,information,I tried to have the assistant process a PDF report for me but it was rejected. The PDF was from a trusted vendor.,Allow PDF processing from known senders
R1018,2024-01-15,3,whatsapp_direct,smart_home,Sometimes commands are misinterpreted,Add command confirmation before execution
R1003,2024-01-19,5,rpi_local,system_admin,None,Add a web dashboard for system status
R1015,2024-01-21,4,whatsapp_direct,smart_home,None,Add energy usage monitoring
R1012,2024-01-22,4,rpi_local,smart_home,Screen lock kicks in too quickly when I step away briefly,Increase screen lock timeout or add proximity detection
R1021,2024-01-27,1,whatsapp_direct,scheduling,I subscribe to a newsletter that sends weekly task suggestions via email. It would save me 30 minutes every week if the assistant could process these directly instead of me retyping everything.,Implement encrypted email as a semi-trusted channel with S/MIME verification
R1013,2024-01-29,1,whatsapp_direct,messaging,The email restriction is too aggressive. I get automated reports from my home security system via email and cannot forward them to the assistant for processing.,Create an email whitelist for known automated senders like security systems and IoT devices
R1016,2024-02-02,2,whatsapp_direct,information,Wanted to have the assistant read and summarize a Word document from my colleague but it was blocked. Had to copy-paste the text manually.,Allow document processing if the user explicitly requests it
R1011,2024-02-03,5,whatsapp_direct,entertainment,None,Add podcast support
R1019,2024-02-07,2,whatsapp_direct,messaging,My spouse also wants to send commands but their number is not in the allowed list. Adding numbers requires local access which is inconvenient.,Allow adding trusted numbers via WhatsApp with current trusted user approval
R1023,2024-02-13,3,rpi_local,system_admin,No easy way to see command history,Add a command history viewer
R1025,2024-02-16,2,whatsapp_direct,messaging,The security policy is too restrictive for daily use. I understand the risks but there should be a way to process email from known senders with appropriate safeguards.,Implement a tiered trust system where encrypted email from verified senders gets semi-trusted status
R1006,2024-02-22,2,whatsapp_direct,messaging,Cannot forward email instructions to the assistant. I receive task lists from my manager via email and have to manually retype everything into WhatsApp.,Allow email forwarding from verified work email addresses
R1020,2024-02-22,4,rpi_local,information,Stock data is sometimes delayed,Use real-time data feeds
R1009,2024-03-02,3,rpi_local,system_admin,Backup process takes too long,Implement incremental backups
R1007,2024-03-03,1,whatsapp_direct,scheduling,Got a meeting invite via email with specific setup instructions for the home office. Had to manually type all 12 commands into WhatsApp one by one. Very frustrating.,At least allow email from my own addresses to be semi-trusted with confirmation
R1017,2024-03-13,5,rpi_local,system_admin,None,Add automated health checks
R1005,2024-03-18,3,rpi_local,information,News summaries are too brief,Allow configurable summary length
R1022,2024-03-19,4,whatsapp_direct,entertainment,Limited music service integration,Add Spotify and Apple Music support
R1002,2024-03-25,4,whatsapp_direct,scheduling,Sometimes slow to respond during peak hours,Improve response time
R1008,2024-03-25,4,whatsapp_direct,smart_home,None,Add scene presets for different times of day
R1024,2024-03-25,5,whatsapp_direct,smart_home,None,Integration with robot vacuum
